geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
1bb09549,run1d1037b48e,neutron,10,3,3,4,4.4199,4.2924,4.1047,0.4024,0.3516,0.4166,0.05,3.0,3.9395654205,0.02,0.6523333333333333,0.4137433608349994
26e87930,runc56ca58ecc,kaon0L,10,3,3,4,3.6585,4.1472,4.156,0.3541,0.3683,0.4229,0.05,3.0,3.497611,0.02,0.7456666666666667,0.37999312342304803
26e87930,run9ff71941b0,neutron,10,3,3,4,3.6585,4.1472,4.156,0.3541,0.3683,0.4229,0.05,3.0,3.9395654205,0.02,0.649,0.35051862195972927
24a47a91,runf92243a9a7,neutron,10,3,3,4,3.6093,4.0383,4.3746,0.5732,0.52,0.5133,0.05,3.0,3.9395654205,0.02,0.7746666666666666,0.4079428292167971
24a47a91,run8a3122b9a3,kaon0L,10,3,3,4,3.6093,4.0383,4.3746,0.5732,0.52,0.5133,0.05,3.0,3.497611,0.02,0.8076666666666666,0.39729475919317975
8ef84b07,run424226bfe2,neutron,10,3,3,4,3.9561,3.8274,4.0828,0.3723,0.4708,0.5729,0.05,3.0,3.9395654205,0.02,0.7376666666666667,0.41043074326866613
8ef84b07,run8b6b64b5d0,kaon0L,10,3,3,4,3.9561,3.8274,4.0828,0.3723,0.4708,0.5729,0.05,3.0,3.497611,0.02,0.7893333333333333,0.38607226074385903
2611d793,runf1ba333c8a,kaon0L,10,3,3,4,4.0968,3.92,4.0001,0.3473,0.4597,0.4478,0.05,3.0,3.497611,0.02,0.7676666666666667,0.3831488788921547
2611d793,run9ee5f6bda4,neutron,10,3,3,4,4.0968,3.92,4.0001,0.3473,0.4597,0.4478,0.05,3.0,3.9395654205,0.02,0.6853333333333333,0.38310749716045556
d215f3dd,run7f1eae0c59,neutron,10,3,3,4,4.1074,4.0453,3.7993,0.4406,0.461,0.3472,0.05,3.0,3.9395654205,0.02,0.6793333333333333,0.3863296146140217
d215f3dd,rune006557d52,kaon0L,10,3,3,4,4.1074,4.0453,3.7993,0.4406,0.461,0.3472,0.05,3.0,3.497611,0.02,0.7446666666666667,0.38894502914830076
1366f069,runa5c37940b4,kaon0L,10,3,3,4,3.9383,4.0838,3.548,0.5763,0.4079,0.3675,0.05,3.0,3.497611,0.02,0.7683333333333333,0.39653097721893676
1366f069,runa5e25f6731,neutron,10,3,3,4,3.9383,4.0838,3.548,0.5763,0.4079,0.3675,0.05,3.0,3.9395654205,0.02,0.7063333333333334,0.3949273720819688
7e5df07f,runca9ca5dd52,neutron,10,3,3,4,4.024,4.4237,4.2024,0.5351,0.5491,0.3939,0.05,3.0,3.9395654205,0.02,0.747,0.43996785459454635
7e5df07f,rund9c0e134d2,kaon0L,10,3,3,4,4.024,4.4237,4.2024,0.5351,0.5491,0.3939,0.05,3.0,3.497611,0.02,0.8016666666666666,0.4185616109113458
1d304dd4,run45964dc3f4,neutron,10,3,3,4,4.3301,4.0707,3.5994,0.3663,0.4459,0.3891,0.05,3.0,3.9395654205,0.02,0.6806666666666666,0.3821900711549141
1d304dd4,run2141deb20e,kaon0L,10,3,3,4,4.3301,4.0707,3.5994,0.3663,0.4459,0.3891,0.05,3.0,3.497611,0.02,0.751,0.37892613716268847
391e3b1f,rune1b6943ea1,neutron,10,3,3,4,3.9858,3.9041,3.6277,0.4435,0.5447,0.3784,0.05,3.0,3.9395654205,0.02,0.7133333333333334,0.41993394300150255
391e3b1f,run8947b309f0,kaon0L,10,3,3,4,3.9858,3.9041,3.6277,0.4435,0.5447,0.3784,0.05,3.0,3.497611,0.02,0.7766666666666666,0.3936151371416156
93a0ac75,runc1a32d9027,kaon0L,10,3,3,4,4.0723,4.3431,4.1811,0.3611,0.4135,0.3856,0.05,3.0,3.497611,0.02,0.7223333333333334,0.38815601363643576
93a0ac75,rune47ef311ce,neutron,10,3,3,4,4.0723,4.3431,4.1811,0.3611,0.4135,0.3856,0.05,3.0,3.9395654205,0.02,0.6466666666666666,0.4041422236629147
4968921c,run501e3f6e69,kaon0L,10,3,3,4,3.8472,4.2991,4.4339,0.3416,0.3582,0.4265,0.05,3.0,3.497611,0.02,0.7303333333333333,0.356838063092666
