geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
a0407d2b,3.0,10,3,3,4,4.2103,4.3631,4.23,0.3751,0.558,0.3438,0.05,0.7573333333333333,,0.40813665981606,,0.6893333333333334,,0.3865443739091618,
a27b73b0,3.0,10,3,3,4,4.2884,3.6742,4.3994,0.3627,0.5689,0.4553,0.05,0.779,,0.4121410684040475,,0.725,,0.4064348944941761,
a672a812,3.0,10,3,3,4,3.6394,4.0602,3.5563,0.4522,0.4509,0.349,0.05,0.7383333333333333,,0.37953387296896435,,0.6816666666666666,,0.40569642363800057,
a72e7022,3.0,10,3,3,4,3.7104,4.2258,3.6795,0.5061,0.3196,0.3172,0.05,0.7053333333333334,,0.38159466632312167,,0.6193333333333333,,0.4203880947853553,
a8599863,3.0,10,3,3,4,3.5802,3.8238,3.9178,0.4161,0.493,0.3758,0.05,0.756,,0.38553123819240465,,0.6886666666666666,,0.3937171022426462,
a8df8ba0,3.0,10,3,3,4,4.3655,3.6056,3.8721,0.5442,0.4963,0.3909,0.05,0.7806666666666666,,0.3933382931121998,,0.7373333333333333,,0.43434347454954036,
a9d91d2e,3.0,10,3,3,4,3.8688,3.5427,4.1472,0.4241,0.5223,0.4872,0.05,0.7743333333333333,,0.39826658891334776,,0.7396666666666667,,0.3977696536717683,
aa1d2ba5,3.0,10,3,3,4,4.0101,3.8577,4.1743,0.3154,0.5895,0.5826,0.05,0.8046666666666666,,0.4186870385983454,,0.7453333333333333,,0.4178518118593928,
ab14479f,3.0,10,3,3,4,3.5463,4.4744,3.6427,0.5832,0.5726,0.5282,0.05,0.811,,0.3959812781583251,,0.7886666666666666,,0.4207488013832365,
ac874649,3.0,10,3,3,4,3.8268,3.532,3.7106,0.3712,0.4224,0.494,0.05,0.7683333333333333,,0.38997283410413686,,0.7093333333333334,,0.39326170799319404,
acf8eb57,3.0,10,3,3,4,3.5794,4.1838,3.9386,0.5512,0.398,0.4308,0.05,0.7733333333333333,,0.3933869582716008,,0.7136666666666667,,0.41106081976715997,
b0cebb3f,3.0,10,3,3,4,3.5632,3.8648,4.2178,0.5694,0.5528,0.5506,0.05,0.809,,0.40225425910361784,,0.7833333333333333,,0.41691034401482713,
b2252494,3.0,10,3,3,4,4.2649,3.6862,3.9208,0.3883,0.3244,0.4712,0.05,0.7476666666666667,,0.3896019959943778,,0.674,,0.40590094548914774,
b3a92429,3.0,10,3,3,4,4.1174,4.1886,4.3261,0.5975,0.3738,0.4754,0.05,0.8076666666666666,,0.40409979087957565,,0.7333333333333333,,0.42072860152206,
b5c28208,3.0,10,3,3,4,4.0354,3.9572,4.2811,0.3122,0.4896,0.4842,0.05,0.764,,0.39738541051874565,,0.6956666666666667,,0.40005423013506575,
bc38436d,3.0,10,3,3,4,3.548,3.6944,3.8244,0.4678,0.3163,0.5032,0.05,0.747,,0.3788346373403777,,0.6913333333333334,,0.40151894924651066,
bc63d385,3.0,10,3,3,4,3.7591,3.7318,3.518,0.4082,0.4943,0.5641,0.05,0.7953333333333333,,0.3858905181117892,,0.7486666666666667,,0.4089678251567358,
bd97652c,3.0,10,3,3,4,4.4798,3.5539,3.9813,0.4309,0.4787,0.5632,0.05,0.8,,0.4244958512418965,,0.765,,0.4064242552414017,
be9cc0a9,3.0,10,3,3,4,4.2001,4.4708,4.0458,0.4114,0.3423,0.4516,0.05,0.76,,0.3539176403556069,,0.665,,0.38401418620767586,
bef970be,3.0,10,3,3,4,4.2448,4.1022,4.3365,0.5531,0.5106,0.3571,0.05,0.7813333333333333,,0.42330369210688584,,0.74,,0.4267945787036888,
bf418346,3.0,10,3,3,4,3.6451,4.2743,3.7007,0.5285,0.4208,0.3952,0.05,0.7743333333333333,,0.39938166622585786,,0.7156666666666667,,0.4114850549016917,
c099286d,3.0,10,3,3,4,4.2495,4.202,3.6937,0.3767,0.4657,0.4615,0.05,0.7716666666666666,,0.4022789980047004,,0.698,,0.3834058927681185,
c0ff2a74,3.0,10,3,3,4,4.3923,4.1609,3.7583,0.3435,0.3408,0.5417,0.05,0.7586666666666667,,0.38962228000471366,,0.6616666666666666,,0.3987121474201538,
c88d0d43,3.0,10,3,3,4,4.2806,4.4442,3.9021,0.4278,0.3718,0.442,0.05,0.754,,0.37562793231047636,,0.6806666666666666,,0.37964646752948955,
c8ee82e4,3.0,10,3,3,4,4.1569,4.4467,4.2771,0.4154,0.3449,0.4533,0.05,0.7646666666666667,,0.36782720940126407,,0.6583333333333333,,0.39139581849056215,
c98fb281,3.0,10,3,3,4,3.7359,3.7203,3.5108,0.54,0.4752,0.3191,0.05,0.733,,0.4180490946924988,,0.6953333333333334,,0.415414108722874,
ca0c6d85,3.0,10,3,3,4,3.7284,3.669,3.663,0.3481,0.5143,0.4147,0.05,0.753,,0.4020553969570945,,0.6916666666666667,,0.3943167021686995,
cbb73eff,3.0,10,3,3,4,4.4514,4.01,3.6574,0.5173,0.5932,0.3148,0.05,0.7596666666666667,,0.4374669926888124,,0.7223333333333334,,0.4387477465115566,
cfb6c8a1,3.0,10,3,3,4,3.9918,4.1206,3.6013,0.4988,0.5993,0.3739,0.05,0.788,,0.40627000681900066,,0.744,,0.42945072663942707,
d215f3dd,3.0,10,3,3,4,4.1074,4.0453,3.7993,0.4406,0.461,0.3472,0.05,0.7446666666666667,,0.38894502914830076,,0.6793333333333333,,0.3863296146140217,
d64e2e3e,3.0,10,3,3,4,3.9148,4.1099,3.9873,0.4281,0.3294,0.3443,0.05,0.7036666666666667,,0.36643725312573955,,0.6163333333333333,,0.37728679927682107,
d7cc3d00,3.0,10,3,3,4,3.7433,3.9719,3.5312,0.5871,0.3749,0.4627,0.05,0.7833333333333333,,0.4130084283810623,,0.7326666666666667,,0.43648445178754963,
d875ee9e,3.0,10,3,3,4,4.3368,4.0258,4.2111,0.3349,0.3016,0.355,0.05,0.6603333333333333,,0.34586141078435123,,0.5516666666666666,,0.39172822182441513,
d9a55a29,3.0,10,3,3,4,3.6179,3.7626,3.9564,0.3223,0.57,0.5336,0.05,0.7753333333333333,,0.39883479974766306,,0.746,,0.3951409995959418,
da038f11,3.0,10,3,3,4,4.4732,3.6666,3.9685,0.3323,0.4044,0.301,0.05,0.666,,0.35827772325748375,,0.581,,0.36831117167207267,
debf9d4f,3.0,10,3,3,4,4.228,4.2278,4.2364,0.3174,0.4547,0.4969,0.05,0.7606666666666667,,0.396677520659281,,0.6973333333333334,,0.3813270743474211,
e0a400f4,3.0,10,3,3,4,3.7923,4.1593,3.579,0.4889,0.4307,0.3586,0.05,0.758,,0.3918137151220594,,0.6833333333333333,,0.41090961979117835,
e1841afc,3.0,10,3,3,4,4.4447,3.552,4.5,0.4564,0.426,0.5184,0.05,0.8026666666666666,,0.38020905081645356,,0.7336666666666667,,0.40507033249156277,
e23ada1a,3.0,10,3,3,4,4.3565,4.377,4.1919,0.3073,0.3645,0.378,0.05,0.696,,0.37215176024734176,,0.5676666666666667,,0.33793685299357035,
e3aaa1a9,3.0,10,3,3,4,4.0805,3.757,4.1995,0.5195,0.3267,0.4985,0.05,0.7873333333333333,,0.3955393517897367,,0.7223333333333334,,0.4064744385338652,
e627e088,3.0,10,3,3,4,4.0585,4.4121,4.0867,0.3112,0.4525,0.4668,0.05,0.756,,0.3961319954081263,,0.661,,0.40362577322886334,
e85c794c,3.0,10,3,3,4,3.5966,4.0584,3.773,0.53,0.4245,0.4041,0.05,0.7633333333333333,,0.4039325471446779,,0.702,,0.40322359069499397,
e913c336,3.0,10,3,3,4,4.2166,3.977,4.1634,0.4878,0.3523,0.5842,0.05,0.809,,0.37805145074065066,,0.758,,0.3975579367500731,
eb02e698,3.0,10,3,3,4,3.7668,4.3967,3.7475,0.572,0.4623,0.5454,0.05,0.8106666666666666,,0.40157593720987417,,0.7713333333333333,,0.425235651724603,
ebc48997,3.0,10,3,3,4,4.0406,4.3299,3.9759,0.595,0.3315,0.5079,0.05,0.7963333333333333,,0.4069344515289458,,0.7356666666666667,,0.3985112081913939,
ed1e08a2,3.0,10,3,3,4,4.4819,3.653,4.2583,0.5124,0.4667,0.3631,0.05,0.7596666666666667,,0.3991374466785029,,0.7313333333333333,,0.4019673803444235,
eff094c3,3.0,10,3,3,4,4.0134,4.2538,3.8568,0.5057,0.4158,0.4193,0.05,0.7906666666666666,,0.3751439699854133,,0.6996666666666667,,0.42251967113768235,
f6caa411,3.0,10,3,3,4,3.907,4.4278,4.1432,0.4016,0.5077,0.5677,0.05,0.814,,0.3754204754044969,,0.759,,0.4129617221786466,
f71f0257,3.0,10,3,3,4,3.7037,3.8501,4.46,0.4333,0.5548,0.542,0.05,0.8103333333333333,,0.39350771713165633,,0.7563333333333333,,0.40752785314219137,
f8a6e74a,3.0,10,3,3,4,4.2574,3.9336,4.2434,0.3454,0.5272,0.3983,0.05,0.7413333333333333,,0.3909148705255532,,0.6903333333333334,,0.3985847637458995,
