geometry_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
bef970be,10,3,3,4,4.2448,4.1022,4.3365,0.5531,0.5106,0.3571,0.05,0.341,,0.4061064088429049,,0.17533333333333334,,0.5085987828684024,
bf418346,10,3,3,4,3.6451,4.2743,3.7007,0.5285,0.4208,0.3952,0.05,0.30533333333333335,,0.46736321247312085,,0.15333333333333332,,0.412844007000477,
c099286d,10,3,3,4,4.2495,4.202,3.6937,0.3767,0.4657,0.4615,0.05,0.255,,0.3923981058671409,,0.13166666666666665,,0.3839140532743429,
c0ff2a74,10,3,3,4,4.3923,4.1609,3.7583,0.3435,0.3408,0.5417,0.05,0.191,,0.3671336543052102,,0.10466666666666667,,0.4306931515342982,
c88d0d43,10,3,3,4,4.2806,4.4442,3.9021,0.4278,0.3718,0.442,0.05,0.211,,0.43504266429753935,,0.096,,0.45485670593464045,
c8ee82e4,10,3,3,4,4.1569,4.4467,4.2771,0.4154,0.3449,0.4533,0.05,0.2,,0.41373991305678887,,0.08833333333333333,,0.43757095392426726,
c98fb281,10,3,3,4,3.7359,3.7203,3.5108,0.54,0.4752,0.3191,0.05,0.3416666666666667,,0.37772558068816275,,0.184,,0.45528020051165474,
ca0c6d85,10,3,3,4,3.7284,3.669,3.663,0.3481,0.5143,0.4147,0.05,0.2946666666666667,,0.4466193879113521,,0.14666666666666667,,0.4702613272468143,
cbb73eff,10,3,3,4,4.4514,4.01,3.6574,0.5173,0.5932,0.3148,0.05,0.321,,0.411644817227023,,0.19266666666666668,,0.3902682676081993,
cfb6c8a1,10,3,3,4,3.9918,4.1206,3.6013,0.4988,0.5993,0.3739,0.05,0.35633333333333334,,0.4091302771594356,,0.188,,0.42014668878480116,
d215f3dd,10,3,3,4,4.1074,4.0453,3.7993,0.4406,0.461,0.3472,0.05,0.256,,0.3607823813496195,,0.13766666666666666,,0.4316638447711052,
d64e2e3e,10,3,3,4,3.9148,4.1099,3.9873,0.4281,0.3294,0.3443,0.05,0.18766666666666668,,0.3736269933169975,,0.08066666666666666,,0.3665521776004987,
d7cc3d00,10,3,3,4,3.7433,3.9719,3.5312,0.5871,0.3749,0.4627,0.05,0.35033333333333333,,0.46080220648253484,,0.178,,0.42995515767350545,
d875ee9e,10,3,3,4,4.3368,4.0258,4.2111,0.3349,0.3016,0.355,0.05,0.12233333333333334,,0.355476166478913,,0.057,,0.38981689661596247,
d9a55a29,10,3,3,4,3.6179,3.7626,3.9564,0.3223,0.57,0.5336,0.05,0.35,,0.4743341599658074,,0.17266666666666666,,0.40546594056578633,
da038f11,10,3,3,4,4.4732,3.6666,3.9685,0.3323,0.4044,0.301,0.05,0.15766666666666668,,0.3589546824564675,,0.07366666666666667,,0.38879567584320585,
debf9d4f,10,3,3,4,4.228,4.2278,4.2364,0.3174,0.4547,0.4969,0.05,0.21366666666666667,,0.41025156494193366,,0.10566666666666667,,0.42893662741835953,
e0a400f4,10,3,3,4,3.7923,4.1593,3.579,0.4889,0.4307,0.3586,0.05,0.278,,0.4367840584455196,,0.13533333333333333,,0.43250338889432016,
e1841afc,10,3,3,4,4.4447,3.552,4.5,0.4564,0.426,0.5184,0.05,0.2813333333333333,,0.4367852863829083,,0.142,,0.4817363464398068,
e23ada1a,10,3,3,4,4.3565,4.377,4.1919,0.3073,0.3645,0.378,0.05,0.13433333333333333,,0.4232585780471687,,0.059666666666666666,,0.5271286918894837,
e3aaa1a9,10,3,3,4,4.0805,3.757,4.1995,0.5195,0.3267,0.4985,0.05,0.2806666666666667,,0.43586556647452124,,0.14866666666666667,,0.40534144818105455,
e627e088,10,3,3,4,4.0585,4.4121,4.0867,0.3112,0.4525,0.4668,0.05,0.201,,0.38659139328547204,,0.10066666666666667,,0.34258758867393846,
e85c794c,10,3,3,4,3.5966,4.0584,3.773,0.53,0.4245,0.4041,0.05,0.32466666666666666,,0.3947072689652066,,0.16166666666666665,,0.3411026009933618,
e913c336,10,3,3,4,4.2166,3.977,4.1634,0.4878,0.3523,0.5842,0.05,0.294,,0.41740755008324787,,0.14733333333333334,,0.4066746600426943,
eb02e698,10,3,3,4,3.7668,4.3967,3.7475,0.572,0.4623,0.5454,0.05,0.3923333333333333,,0.4351465424510265,,0.23166666666666666,,0.36722661096972387,
ebc48997,10,3,3,4,4.0406,4.3299,3.9759,0.595,0.3315,0.5079,0.05,0.3283333333333333,,0.40616184864311916,,0.14933333333333335,,0.4850171286135251,
ed1e08a2,10,3,3,4,4.4819,3.653,4.2583,0.5124,0.4667,0.3631,0.05,0.30766666666666664,,0.40696208954891006,,0.15766666666666668,,0.426091635357469,
eff094c3,10,3,3,4,4.0134,4.2538,3.8568,0.5057,0.4158,0.4193,0.05,0.27566666666666667,,0.4185142248459791,,0.15333333333333332,,0.3941251901289003,
f6caa411,10,3,3,4,3.907,4.4278,4.1432,0.4016,0.5077,0.5677,0.05,0.30466666666666664,,0.44199788940238993,,0.163,,0.40050908557999293,
f71f0257,10,3,3,4,3.7037,3.8501,4.46,0.4333,0.5548,0.542,0.05,0.37933333333333336,,0.4375039088970206,,0.20533333333333334,,0.4202967696654642,
f8a6e74a,10,3,3,4,4.2574,3.9336,4.2434,0.3454,0.5272,0.3983,0.05,0.25666666666666665,,0.38522559055396743,,0.122,,0.3967305501785836,
f8fa9553,10,3,3,4,4.2776,3.7747,3.9509,0.3919,0.4841,0.3218,0.05,0.23033333333333333,,0.4457209071615005,,0.11866666666666667,,0.42670902205881545,
fa5f2331,10,3,3,4,4.4104,4.3381,4.4758,0.4207,0.5137,0.5972,0.05,0.306,,0.3902195191145445,,0.163,,0.3603711136692426,
fb9d401c,10,3,3,4,3.5921,3.963,4.4448,0.5275,0.5821,0.4331,0.05,0.4093333333333333,,0.4383523390865977,,0.23066666666666666,,0.4313395630231373,
fc66bb0e,10,3,3,4,3.9936,3.6389,3.8947,0.4791,0.3498,0.3977,0.05,0.25366666666666665,,0.39762217559688257,,0.12766666666666668,,0.3519975596654815,
