geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
7ee5b35e,1.0,10,3,3,4,3.7627,3.7988,3.9108,0.5007,0.591,0.5774,0.05,0.426,,0.44641874742263626,,0.25266666666666665,,0.4020521793083334,
7f2924f1,1.0,10,3,3,4,3.7158,4.1318,4.4668,0.5578,0.3205,0.3404,0.05,0.242,,0.4481939173736209,,0.12,,0.4932497489088213,
80827b09,1.0,10,3,3,4,4.2367,4.4566,3.5245,0.5036,0.5177,0.5245,0.05,0.35233333333333333,,0.38667960305875126,,0.187,,0.392664330111506,
82e534a8,1.0,10,3,3,4,3.9261,3.8972,3.7361,0.3938,0.3153,0.5011,0.05,0.22033333333333333,,0.3892704975632806,,0.10133333333333333,,0.4058090426891207,
833f96ce,1.0,10,3,3,4,3.7999,4.3693,4.3893,0.5794,0.3038,0.4258,0.05,0.2816666666666667,,0.42015320674262674,,0.12933333333333333,,0.4113963614686664,
8640d9db,1.0,10,3,3,4,4.0514,4.4361,3.8338,0.5809,0.551,0.4568,0.05,0.4,,0.4642320607851818,,0.19866666666666666,,0.3968256354935088,
868a492a,1.0,10,3,3,4,3.5595,4.3881,4.3415,0.534,0.5679,0.4347,0.05,0.359,,0.42228244301887474,,0.203,,0.39144251943007663,
87f896ff,1.0,10,3,3,4,4.3028,3.7012,3.8524,0.5385,0.4821,0.3525,0.05,0.32766666666666666,,0.38371550926227566,,0.17466666666666666,,0.45660098727377213,
885fb931,1.0,10,3,3,4,4.2203,3.9866,4.0668,0.5204,0.4911,0.3713,0.05,0.294,,0.35028635071079534,,0.15633333333333332,,0.46618325358230994,
891cb5ef,1.0,10,3,3,4,4.1804,4.4018,3.7636,0.4069,0.4097,0.4784,0.05,0.254,,0.43314373016355795,,0.125,,0.4346857113660881,
8bd9fdb0,1.0,10,3,3,4,3.8878,4.0913,3.7281,0.5598,0.58,0.474,0.05,0.434,,0.44649892280766834,,0.248,,0.45866949568831966,
8c3ff9ab,1.0,10,3,3,4,4.4909,3.5828,4.3631,0.5421,0.4697,0.4893,0.05,0.3566666666666667,,0.4224349866860693,,0.18866666666666668,,0.40827785178340015,
